パーツID	パーツ名	種別	画像ID	ランク	属性	ライフ	アタック	ディフェンス	スピード	レンジ	モビリティ	フレーバー	ステ確認	メモ
s101_f	ベーシックソール	3	s001_f	1	火	38	0	0	68	37	66	工業規格パーツ	209	ランク1
s101_a	ベーシックソール	3	s001_a	1	風	38	0	0	68	37	66	工業規格パーツ	209	ランク1
s101_e	ベーシックソール	3	s001_e	1	土	38	0	0	68	37	66	工業規格パーツ	209	ランク1
s101_w	ベーシックソール	3	s001_w	1	水	38	0	0	68	37	66	工業規格パーツ	209	ランク1
s101_n	ベーシックソール	3	s001_n	1	無	38	0	0	68	37	66	工業規格パーツ	209	ランク1
s102_f	フラットソール	3	s002_f	1	火	35	0	0	87	39	81	工業規格パーツ	242	ランク1
s102_a	フラットソール	3	s002_a	1	風	35	0	0	87	39	81	工業規格パーツ	242	ランク1
s102_e	フラットソール	3	s002_e	1	土	35	0	0	87	39	81	工業規格パーツ	242	ランク1
s102_w	フラットソール	3	s002_w	1	水	35	0	0	87	39	81	工業規格パーツ	242	ランク1
s102_n	フラットソール	3	s002_n	1	無	35	0	0	87	39	81	工業規格パーツ	242	ランク1
s103_f	ランナーソール	3	s003_f	1	火	40	0	0	91	29	49	工業規格パーツ	209	ランク1
s103_a	ランナーソール	3	s003_a	1	風	40	0	0	91	29	49	工業規格パーツ	209	ランク1
s103_e	ランナーソール	3	s003_e	1	土	40	0	0	91	29	49	工業規格パーツ	209	ランク1
s103_w	ランナーソール	3	s003_w	1	水	40	0	0	91	29	49	工業規格パーツ	209	ランク1
s103_n	ランナーソール	3	s003_n	1	無	40	0	0	91	29	49	工業規格パーツ	209	ランク1
s104_f	ダッシュソール	3	s004_f	1	火	35	0	0	109	38	59	工業規格パーツ	241	ランク1
s104_a	ダッシュソール	3	s004_a	1	風	35	0	0	109	38	59	工業規格パーツ	241	ランク1
s104_e	ダッシュソール	3	s004_e	1	土	35	0	0	109	38	59	工業規格パーツ	241	ランク1
s104_w	ダッシュソール	3	s004_w	1	水	35	0	0	109	38	59	工業規格パーツ	241	ランク1
s104_n	ダッシュソール	3	s004_n	1	無	35	0	0	109	38	59	工業規格パーツ	241	ランク1
s105_f	ステップソール	3	s005_f	1	火	38	0	0	52	29	91	工業規格パーツ	210	ランク1
s105_a	ステップソール	3	s005_a	1	風	38	0	0	52	29	91	工業規格パーツ	210	ランク1
s105_e	ステップソール	3	s005_e	1	土	38	0	0	52	29	91	工業規格パーツ	210	ランク1
s105_w	ステップソール	3	s005_w	1	水	38	0	0	52	29	91	工業規格パーツ	210	ランク1
s105_n	ステップソール	3	s005_n	1	無	38	0	0	52	29	91	工業規格パーツ	210	ランク1
s106_f	スライドソール	3	s006_f	1	火	32	0	0	65	37	108	工業規格パーツ	242	ランク1
s106_a	スライドソール	3	s006_a	1	風	32	0	0	65	37	108	工業規格パーツ	242	ランク1
s106_e	スライドソール	3	s006_e	1	土	32	0	0	65	37	108	工業規格パーツ	242	ランク1
s106_w	スライドソール	3	s006_w	1	水	32	0	0	65	37	108	工業規格パーツ	242	ランク1
s106_n	スライドソール	3	s006_n	1	無	32	0	0	65	37	108	工業規格パーツ	242	ランク1
s107_f	ヘビーソール	3	s007_f	1	火	46	0	0	75	36	78	工業規格パーツ	235	ランク1
s107_a	ヘビーソール	3	s007_a	1	風	46	0	0	75	36	78	工業規格パーツ	235	ランク1
s107_e	ヘビーソール	3	s007_e	1	土	46	0	0	75	36	78	工業規格パーツ	235	ランク1
s107_w	ヘビーソール	3	s007_w	1	水	46	0	0	75	36	78	工業規格パーツ	235	ランク1
s107_n	ヘビーソール	3	s007_n	1	無	46	0	0	75	36	78	工業規格パーツ	235	ランク1
s108_f	ワイドソール	3	s008_f	1	火	34	0	0	74	45	82	工業規格パーツ	235	ランク1
s108_a	ワイドソール	3	s008_a	1	風	34	0	0	74	45	82	工業規格パーツ	235	ランク1
s108_e	ワイドソール	3	s008_e	1	土	34	0	0	74	45	82	工業規格パーツ	235	ランク1
s108_w	ワイドソール	3	s008_w	1	水	34	0	0	74	45	82	工業規格パーツ	235	ランク1
s108_n	ワイドソール	3	s008_n	1	無	34	0	0	74	45	82	工業規格パーツ	235	ランク1
b201_f	ベーシックブレード・カスタム	1	b001_f	2	火	0	142	80	0	132	64	工業規格パーツ	418	ランク2
b201_a	ベーシックブレード・カスタム	1	b001_a	2	風	0	142	80	0	132	64	工業規格パーツ	418	ランク2
b201_e	ベーシックブレード・カスタム	1	b001_e	2	土	0	142	80	0	132	64	工業規格パーツ	418	ランク2
b201_w	ベーシックブレード・カスタム	1	b001_w	2	水	0	142	80	0	132	64	工業規格パーツ	418	ランク2
b201_n	ベーシックブレード・カスタム	1	b001_n	2	無	0	142	80	0	132	64	工業規格パーツ	418	ランク2
b202_f	フラットブレード・カスタム	1	b002_f	2	火	0	170	72	0	160	82	工業規格パーツ	484	ランク2
b202_a	フラットブレード・カスタム	1	b002_a	2	風	0	170	72	0	160	82	工業規格パーツ	484	ランク2
b202_e	フラットブレード・カスタム	1	b002_e	2	土	0	170	72	0	160	82	工業規格パーツ	484	ランク2
b202_w	フラットブレード・カスタム	1	b002_w	2	水	0	170	72	0	160	82	工業規格パーツ	484	ランク2
b202_n	フラットブレード・カスタム	1	b002_n	2	無	0	170	72	0	160	82	工業規格パーツ	484	ランク2
b203_f	ストライクブレード・カスタム	1	b003_f	2	火	0	192	62	0	104	60	工業規格パーツ	418	ランク2
b203_a	ストライクブレード・カスタム	1	b003_a	2	風	0	192	62	0	104	60	工業規格パーツ	418	ランク2
b203_e	ストライクブレード・カスタム	1	b003_e	2	土	0	192	62	0	104	60	工業規格パーツ	418	ランク2
b203_w	ストライクブレード・カスタム	1	b003_w	2	水	0	192	62	0	104	60	工業規格パーツ	418	ランク2
b203_n	ストライクブレード・カスタム	1	b003_n	2	無	0	192	62	0	104	60	工業規格パーツ	418	ランク2
b204_f	ラッシュブレード・カスタム	1	b004_f	2	火	0	222	54	0	134	72	工業規格パーツ	482	ランク2
b204_a	ラッシュブレード・カスタム	1	b004_a	2	風	0	222	54	0	134	72	工業規格パーツ	482	ランク2
b204_e	ラッシュブレード・カスタム	1	b004_e	2	土	0	222	54	0	134	72	工業規格パーツ	482	ランク2
b204_w	ラッシュブレード・カスタム	1	b004_w	2	水	0	222	54	0	134	72	工業規格パーツ	482	ランク2
b204_n	ラッシュブレード・カスタム	1	b004_n	2	無	0	222	54	0	134	72	工業規格パーツ	482	ランク2
b205_f	クロスブレード・カスタム	1	b005_f	2	火	0	104	60	0	194	62	工業規格パーツ	420	ランク2
b205_a	クロスブレード・カスタム	1	b005_a	2	風	0	104	60	0	194	62	工業規格パーツ	420	ランク2
b205_e	クロスブレード・カスタム	1	b005_e	2	土	0	104	60	0	194	62	工業規格パーツ	420	ランク2
b205_w	クロスブレード・カスタム	1	b005_w	2	水	0	104	60	0	194	62	工業規格パーツ	420	ランク2
b205_n	クロスブレード・カスタム	1	b005_n	2	無	0	104	60	0	194	62	工業規格パーツ	420	ランク2
b206_f	ウイングブレード・カスタム	1	b006_f	2	火	0	128	54	0	228	74	工業規格パーツ	484	ランク2
b206_a	ウイングブレード・カスタム	1	b006_a	2	風	0	128	54	0	228	74	工業規格パーツ	484	ランク2
b206_e	ウイングブレード・カスタム	1	b006_e	2	土	0	128	54	0	228	74	工業規格パーツ	484	ランク2
b206_w	ウイングブレード・カスタム	1	b006_w	2	水	0	128	54	0	228	74	工業規格パーツ	484	ランク2
b206_n	ウイングブレード・カスタム	1	b006_n	2	無	0	128	54	0	228	74	工業規格パーツ	484	ランク2
b207_f	シールドブレード・カスタム	1	b007_f	2	火	0	158	92	0	154	66	工業規格パーツ	470	ランク2
b207_a	シールドブレード・カスタム	1	b007_a	2	風	0	158	92	0	154	66	工業規格パーツ	470	ランク2
b207_e	シールドブレード・カスタム	1	b007_e	2	土	0	158	92	0	154	66	工業規格パーツ	470	ランク2
b207_w	シールドブレード・カスタム	1	b007_w	2	水	0	158	92	0	154	66	工業規格パーツ	470	ランク2
b207_n	シールドブレード・カスタム	1	b007_n	2	無	0	158	92	0	154	66	工業規格パーツ	470	ランク2
b208_f	スピードブレード・カスタム	1	b008_f	2	火	0	150	58	0	168	94	工業規格パーツ	470	ランク2
b208_a	スピードブレード・カスタム	1	b008_a	2	風	0	150	58	0	168	94	工業規格パーツ	470	ランク2
b208_e	スピードブレード・カスタム	1	b008_e	2	土	0	150	58	0	168	94	工業規格パーツ	470	ランク2
b208_w	スピードブレード・カスタム	1	b008_w	2	水	0	150	58	0	168	94	工業規格パーツ	470	ランク2
b208_n	スピードブレード・カスタム	1	b008_n	2	無	0	150	58	0	168	94	工業規格パーツ	470	ランク2
w201_f	ベーシックウェイト・カスタム	2	w001_f	2	火	140	82	136	60	0	0	工業規格パーツ	418	ランク2
w201_a	ベーシックウェイト・カスタム	2	w001_a	2	風	140	82	136	60	0	0	工業規格パーツ	418	ランク2
w201_e	ベーシックウェイト・カスタム	2	w001_e	2	土	140	82	136	60	0	0	工業規格パーツ	418	ランク2
w201_w	ベーシックウェイト・カスタム	2	w001_w	2	水	140	82	136	60	0	0	工業規格パーツ	418	ランク2
w201_n	ベーシックウェイト・カスタム	2	w001_n	2	無	140	82	136	60	0	0	工業規格パーツ	418	ランク2
w202_f	フラットウェイト・カスタム	2	w002_f	2	火	176	72	158	78	0	0	工業規格パーツ	484	ランク2
w202_a	フラットウェイト・カスタム	2	w002_a	2	風	176	72	158	78	0	0	工業規格パーツ	484	ランク2
w202_e	フラットウェイト・カスタム	2	w002_e	2	土	176	72	158	78	0	0	工業規格パーツ	484	ランク2
w202_w	フラットウェイト・カスタム	2	w002_w	2	水	176	72	158	78	0	0	工業規格パーツ	484	ランク2
w202_n	フラットウェイト・カスタム	2	w002_n	2	無	176	72	158	78	0	0	工業規格パーツ	484	ランク2
w203_f	コアウェイト・カスタム	2	w003_f	2	火	188	62	108	60	0	0	工業規格パーツ	418	ランク2
w203_a	コアウェイト・カスタム	2	w003_a	2	風	188	62	108	60	0	0	工業規格パーツ	418	ランク2
w203_e	コアウェイト・カスタム	2	w003_e	2	土	188	62	108	60	0	0	工業規格パーツ	418	ランク2
w203_w	コアウェイト・カスタム	2	w003_w	2	水	188	62	108	60	0	0	工業規格パーツ	418	ランク2
w203_n	コアウェイト・カスタム	2	w003_n	2	無	188	62	108	60	0	0	工業規格パーツ	418	ランク2
w204_f	ブロックウェイト・カスタム	2	w004_f	2	火	226	54	132	70	0	0	工業規格パーツ	482	ランク2
w204_a	ブロックウェイト・カスタム	2	w004_a	2	風	226	54	132	70	0	0	工業規格パーツ	482	ランク2
w204_e	ブロックウェイト・カスタム	2	w004_e	2	土	226	54	132	70	0	0	工業規格パーツ	482	ランク2
w204_w	ブロックウェイト・カスタム	2	w004_w	2	水	226	54	132	70	0	0	工業規格パーツ	482	ランク2
w204_n	ブロックウェイト・カスタム	2	w004_n	2	無	226	54	132	70	0	0	工業規格パーツ	482	ランク2
w205_f	リングウェイト・カスタム	2	w005_f	2	火	112	68	186	54	0	0	工業規格パーツ	420	ランク2
w205_a	リングウェイト・カスタム	2	w005_a	2	風	112	68	186	54	0	0	工業規格パーツ	420	ランク2
w205_e	リングウェイト・カスタム	2	w005_e	2	土	112	68	186	54	0	0	工業規格パーツ	420	ランク2
w205_w	リングウェイト・カスタム	2	w005_w	2	水	112	68	186	54	0	0	工業規格パーツ	420	ランク2
w205_n	リングウェイト・カスタム	2	w005_n	2	無	112	68	186	54	0	0	工業規格パーツ	420	ランク2
w206_f	プレートウェイト・カスタム	2	w006_f	2	火	136	60	220	68	0	0	工業規格パーツ	484	ランク2
w206_a	プレートウェイト・カスタム	2	w006_a	2	風	136	60	220	68	0	0	工業規格パーツ	484	ランク2
w206_e	プレートウェイト・カスタム	2	w006_e	2	土	136	60	220	68	0	0	工業規格パーツ	484	ランク2
w206_w	プレートウェイト・カスタム	2	w006_w	2	水	136	60	220	68	0	0	工業規格パーツ	484	ランク2
w206_n	プレートウェイト・カスタム	2	w006_n	2	無	136	60	220	68	0	0	工業規格パーツ	484	ランク2
w207_f	パワーウェイト・カスタム	2	w007_f	2	火	158	96	152	64	0	0	工業規格パーツ	470	ランク2
w207_a	パワーウェイト・カスタム	2	w007_a	2	風	158	96	152	64	0	0	工業規格パーツ	470	ランク2
w207_e	パワーウェイト・カスタム	2	w007_e	2	土	158	96	152	64	0	0	工業規格パーツ	470	ランク2
w207_w	パワーウェイト・カスタム	2	w007_w	2	水	158	96	152	64	0	0	工業規格パーツ	470	ランク2
w207_n	パワーウェイト・カスタム	2	w007_n	2	無	158	96	152	64	0	0	工業規格パーツ	470	ランク2
w208_f	アクセルウェイト・カスタム	2	w008_f	2	火	142	66	164	98	0	0	工業規格パーツ	470	ランク2
w208_a	アクセルウェイト・カスタム	2	w008_a	2	風	142	66	164	98	0	0	工業規格パーツ	470	ランク2
w208_e	アクセルウェイト・カスタム	2	w008_e	2	土	142	66	164	98	0	0	工業規格パーツ	470	ランク2
w208_w	アクセルウェイト・カスタム	2	w008_w	2	水	142	66	164	98	0	0	工業規格パーツ	470	ランク2
w208_n	アクセルウェイト・カスタム	2	w008_n	2	無	142	66	164	98	0	0	工業規格パーツ	470	ランク2
s201_f	ベーシックソール・カスタム	3	s001_f	2	火	76	0	0	136	74	132	工業規格パーツ	418	ランク2
s201_a	ベーシックソール・カスタム	3	s001_a	2	風	76	0	0	136	74	132	工業規格パーツ	418	ランク2
s201_e	ベーシックソール・カスタム	3	s001_e	2	土	76	0	0	136	74	132	工業規格パーツ	418	ランク2
s201_w	ベーシックソール・カスタム	3	s001_w	2	水	76	0	0	136	74	132	工業規格パーツ	418	ランク2
s201_n	ベーシックソール・カスタム	3	s001_n	2	無	76	0	0	136	74	132	工業規格パーツ	418	ランク2
s202_f	フラットソール・カスタム	3	s002_f	2	火	70	0	0	174	78	162	工業規格パーツ	484	ランク2
s202_a	フラットソール・カスタム	3	s002_a	2	風	70	0	0	174	78	162	工業規格パーツ	484	ランク2
s202_e	フラットソール・カスタム	3	s002_e	2	土	70	0	0	174	78	162	工業規格パーツ	484	ランク2
s202_w	フラットソール・カスタム	3	s002_w	2	水	70	0	0	174	78	162	工業規格パーツ	484	ランク2
s202_n	フラットソール・カスタム	3	s002_n	2	無	70	0	0	174	78	162	工業規格パーツ	484	ランク2
s203_f	ランナーソール・カスタム	3	s003_f	2	火	80	0	0	182	58	98	工業規格パーツ	418	ランク2
s203_a	ランナーソール・カスタム	3	s003_a	2	風	80	0	0	182	58	98	工業規格パーツ	418	ランク2
s203_e	ランナーソール・カスタム	3	s003_e	2	土	80	0	0	182	58	98	工業規格パーツ	418	ランク2
s203_w	ランナーソール・カスタム	3	s003_w	2	水	80	0	0	182	58	98	工業規格パーツ	418	ランク2
s203_n	ランナーソール・カスタム	3	s003_n	2	無	80	0	0	182	58	98	工業規格パーツ	418	ランク2
s204_f	ダッシュソール・カスタム	3	s004_f	2	火	70	0	0	218	76	118	工業規格パーツ	482	ランク2
s204_a	ダッシュソール・カスタム	3	s004_a	2	風	70	0	0	218	76	118	工業規格パーツ	482	ランク2
s204_e	ダッシュソール・カスタム	3	s004_e	2	土	70	0	0	218	76	118	工業規格パーツ	482	ランク2
s204_w	ダッシュソール・カスタム	3	s004_w	2	水	70	0	0	218	76	118	工業規格パーツ	482	ランク2
s204_n	ダッシュソール・カスタム	3	s004_n	2	無	70	0	0	218	76	118	工業規格パーツ	482	ランク2
s205_f	ステップソール・カスタム	3	s005_f	2	火	76	0	0	104	58	182	工業規格パーツ	420	ランク2
s205_a	ステップソール・カスタム	3	s005_a	2	風	76	0	0	104	58	182	工業規格パーツ	420	ランク2
s205_e	ステップソール・カスタム	3	s005_e	2	土	76	0	0	104	58	182	工業規格パーツ	420	ランク2
s205_w	ステップソール・カスタム	3	s005_w	2	水	76	0	0	104	58	182	工業規格パーツ	420	ランク2
s205_n	ステップソール・カスタム	3	s005_n	2	無	76	0	0	104	58	182	工業規格パーツ	420	ランク2
s206_f	スライドソール・カスタム	3	s006_f	2	火	64	0	0	130	74	216	工業規格パーツ	484	ランク2
s206_a	スライドソール・カスタム	3	s006_a	2	風	64	0	0	130	74	216	工業規格パーツ	484	ランク2
s206_e	スライドソール・カスタム	3	s006_e	2	土	64	0	0	130	74	216	工業規格パーツ	484	ランク2
s206_w	スライドソール・カスタム	3	s006_w	2	水	64	0	0	130	74	216	工業規格パーツ	484	ランク2
s206_n	スライドソール・カスタム	3	s006_n	2	無	64	0	0	130	74	216	工業規格パーツ	484	ランク2
s207_f	ヘビーソール・カスタム	3	s007_f	2	火	92	0	0	150	72	156	工業規格パーツ	470	ランク2
s207_a	ヘビーソール・カスタム	3	s007_a	2	風	92	0	0	150	72	156	工業規格パーツ	470	ランク2
s207_e	ヘビーソール・カスタム	3	s007_e	2	土	92	0	0	150	72	156	工業規格パーツ	470	ランク2
s207_w	ヘビーソール・カスタム	3	s007_w	2	水	92	0	0	150	72	156	工業規格パーツ	470	ランク2
s207_n	ヘビーソール・カスタム	3	s007_n	2	無	92	0	0	150	72	156	工業規格パーツ	470	ランク2
s208_f	ワイドソール・カスタム	3	s008_f	2	火	68	0	0	148	90	164	工業規格パーツ	470	ランク2
s208_a	ワイドソール・カスタム	3	s008_a	2	風	68	0	0	148	90	164	工業規格パーツ	470	ランク2
s208_e	ワイドソール・カスタム	3	s008_e	2	土	68	0	0	148	90	164	工業規格パーツ	470	ランク2
s208_w	ワイドソール・カスタム	3	s008_w	2	水	68	0	0	148	90	164	工業規格パーツ	470	ランク2
s208_n	ワイドソール・カスタム	3	s008_n	2	無	68	0	0	148	90	164	工業規格パーツ	470	ランク2
b301_f	ハイパーベーシックブレード	1	b001_f	3	火	0	213	120	0	198	96	工業規格パーツ	627	ランク3
b301_a	ハイパーベーシックブレード	1	b001_a	3	風	0	213	120	0	198	96	工業規格パーツ	627	ランク3
b301_e	ハイパーベーシックブレード	1	b001_e	3	土	0	213	120	0	198	96	工業規格パーツ	627	ランク3
b301_w	ハイパーベーシックブレード	1	b001_w	3	水	0	213	120	0	198	96	工業規格パーツ	627	ランク3
b301_n	ハイパーベーシックブレード	1	b001_n	3	無	0	213	120	0	198	96	工業規格パーツ	627	ランク3
b302_f	ハイパーフラットブレード	1	b002_f	3	火	0	255	108	0	240	123	工業規格パーツ	726	ランク3
b302_a	ハイパーフラットブレード	1	b002_a	3	風	0	255	108	0	240	123	工業規格パーツ	726	ランク3
b302_e	ハイパーフラットブレード	1	b002_e	3	土	0	255	108	0	240	123	工業規格パーツ	726	ランク3
b302_w	ハイパーフラットブレード	1	b002_w	3	水	0	255	108	0	240	123	工業規格パーツ	726	ランク3
b302_n	ハイパーフラットブレード	1	b002_n	3	無	0	255	108	0	240	123	工業規格パーツ	726	ランク3
b303_f	ハイパーストライクブレード	1	b003_f	3	火	0	288	93	0	156	90	工業規格パーツ	627	ランク3
b303_a	ハイパーストライクブレード	1	b003_a	3	風	0	288	93	0	156	90	工業規格パーツ	627	ランク3
b303_e	ハイパーストライクブレード	1	b003_e	3	土	0	288	93	0	156	90	工業規格パーツ	627	ランク3
b303_w	ハイパーストライクブレード	1	b003_w	3	水	0	288	93	0	156	90	工業規格パーツ	627	ランク3
b303_n	ハイパーストライクブレード	1	b003_n	3	無	0	288	93	0	156	90	工業規格パーツ	627	ランク3
