"TEXT_ID","キャラクター名","テキスト内容"
"e002_ougi_5","ハルト","甘いぜ！反撃のエアロ・ダイブを喰らいなァッ！"
"e003_before","タイガ","……オレの守りは崩れない。君の覚悟、受け止めてやる。"
"e003_win","タイガ","焦りは隙を生む。……それが守りの極意だ。"
"e003_lose","タイガ","……見事だ。オレの鉄壁をここまで真っ直ぐ打ち破るとはな。"
"e003_ougi_1","タイガ","大地を砕く……！テラ・ディザスター！"
"e003_ougi_2","タイガ","粉砕するぞ……真の破壊、グラウンド・ゼロだ！"
"e003_ougi_3","タイガ","動じることはない……メガリス・バリア！"
"e003_ougi_4","タイガ","見切った……ジオ・シフトで躱すぞ。"
"e003_ougi_5","タイガ","岩石の怒りだ……カウンター一閃！"
"e004_before","ケンジ","君のパーツ構成、興味深いね。僕の計算を狂わせてくれるかい？"
"e004_win","ケンジ","計算通りの勝利さ。でも、いい回転だったよ。"
"e004_lose","ケンジ","僕の予測を上回るアセンブル……！完敗だよ、見事なデータだ。"
"e004_ougi_1","ケンジ","衝撃波を喰らいなよ！ウェーブ・ストライク！"
"e004_ougi_2","ケンジ","計算通りの大嵐さ！インパルス・ストーム！！"
"e004_ougi_3","ケンジ","風の気流で威力を減衰させるよ！"
"e004_ougi_4","ケンジ","捉えきれるかい？フェザー・ダンス！"
"e004_ougi_5","ケンジ","反撃の軌道は見えている！ウェーブ・ストライク！"
"e005_before","カイト","ハッ、いい度胸じゃん。オレとケルベロスがこの街最強だってこと、教えてやるよ！"
"e005_win","カイト","言っただろ？オレたちのコンビネーションに敵うヤツなんていねぇんだよ！"
"e005_lose","カイト","チッ……嘘だろ、オレが負けるかよ！？……次は絶対に負けねぇからな！"
"e005_ougi_1","カイト","噛み砕けケルベロス！トリプル・ファング！"
"e005_ougi_2","カイト","地獄の底まで叩き落とす！グラウンド・シャックル！！"
"e005_ougi_3","カイト","逃がさねえぞ！チェイン・バインドで封殺だ！"
"e005_ougi_4","カイト","鎖の反動でかわす！見失うなよ！"
"e005_ougi_5","カイト","喰らいつけ！怒りのカウンタートリプル・ファング！"
"e006_before","タクマ","オレのスピードについてこれるか？置き去りにしても恨むなよ！"
"e006_win","タクマ","へへっ、いい加速だったろ！これがオレの最高速（トップスピード）だ！"
"e006_lose","タクマ","クソッ、コーナーで捉えられたか……！だが、次はもっと速くなってぶっちぎってやる！"
"e006_ougi_1","タクマ","深淵の渦潮に呑まれるがいい！メイル・ストリーム！"
"e006_ougi_2","タクマ","誰も逃げられねぇ超加速の渦だ！グラン・ヴォルテックスッ！！"
"e006_ougi_3","タクマ","絶対潮流の防壁！タイダル・ウォール！"
"e006_ougi_4","タクマ","残像すら置き去りだ！ヴォイド・ドリフト！"
"e006_ougi_5","タクマ","潮流を反転させ、カウンターを放つぜ！"
"e007_before","シュン","データは嘘をつきません。最適解の軌道をお見せしましょう。"
"e007_win","シュン","想定通りのシミュレーション結果です。改善点を見直すべきですね。"
"e007_lose","シュン","計算の限界を超えた一撃……！素晴らしい発想力です。"
"e007_ougi_1","シュン","凍てつく牙で噛み千切る！フロスト・バイト！"
"e007_ougi_2","シュン","すべてを氷結させろ！アブソリュート・ゼロ！！"
"e007_ougi_3","シュン","凍てつく氷壁、展開します！"
"e007_ougi_4","シュン","幻影を追うな！アイス・ミラージュ！"
"e007_ougi_5","シュン","氷牙の一撃！カウンターフロスト・バイト！"
"e008_before","ジュリ","アタシの雷撃ビート、ついてこれる？チョロいバトルじゃつまんないから、本気で見せてよね！"
"e008_win","ジュリ","いぇい、アタシの勝ち〜♪ビリビリ痺れちゃった？結構いいセンスしてたよ！"
"e008_lose","ジュリ","えーっ、ウソでしょ！？アタシが押し切られちゃうなんて……キミ、マジですごすぎ！"
"e008_ougi_1","ジュリ","アタシの鋭いビートを喰らいな！ダーク・エッジ！"
"e008_ougi_2","ジュリ","フロアごと真っ二つにしちゃうし！ヘル・スラッシュッ！！"
"e008_ougi_3","ジュリ","アタシの影は甘くないし！ガード完了〜☆"
"e008_ougi_4","ジュリ","あはっ、影に消えちゃうよ♪ルイン・シャドウ！"
"e008_ougi_5","ジュリ","スキありじゃん！カウンター、ダーク・エッジ！"
"e009_before","コトネ","ボクのギア、カチカチで痛いよ？怪我しないように気をつけてね！"
"e009_win","コトネ","えへへ、ボクの勝ち！守りは最大の攻撃なんだよ！"
"e009_lose","コトネ","うわあぁ！ボクのシールドが割れちゃった……！キミのパワー、本物だね！"
"e009_ougi_1","コトネ","大地の力、見せてあげる！テラ・ディザスター！"
"e009_ougi_2","コトネ","ボクの大地、全部包み込んじゃえ〜！グラウンド・ゼロ！"
"e009_ougi_3","コトネ","岩盤の守りよ！メガリス・バリア！"
"e009_ougi_4","コトネ","軽快に重心移動！ジオ・シフト！"
"e009_ougi_5","コトネ","大地の反動、お返しだよ！カウンターアタック！"
"e010_before","レイナ","地区予選の頂点、そう簡単に譲るわけにはいかないわ。あなたの全てを懸けてぶつかってきなさい。"
"e010_win","レイナ","これがトップシードの意地よ。でも、あなたのまっすぐな情熱は届いたわ。"
"e010_lose","レイナ","……見事ね。私の変幻自在な軌道を捉えきるなんて。堂々とエリア選手権へ進みなさい。"
"e010_ougi_1","レイナ","天馬の羽ばたき！ミラージュ・エッジ！"
"e010_ougi_2","レイナ","銀河の激流よ！スターライト・ストリーム！！"
"e010_ougi_3","レイナ","光の翼で受け止めてみせるわ！"
"e010_ougi_4","レイナ","天高く舞い上がれ！エアリアル・ステップ！"
"e010_ougi_5","レイナ","光となって跳ね返すわ！ミラージュ・エッジ！"
"e011_before","テッペイ","ガタガタ言わずに一発勝負！オレのフルパワー、正面から受け止めてみやがれ！"
"e011_win","テッペイ","しゃあっ！オレの豪腕スピンに耐えられるヤツはいねえぜ！"
"e011_lose","テッペイ","ぐわっ、弾かれたか……！だがいい一撃だったぜ、最高のファイトだ！"
"e011_ougi_1","テッペイ","上空からの強襲！エアロ・ダイブ！"
"e011_ougi_2","テッペイ","暴風竜の咆哮！エアロ・ストリームッ！！"
"e011_ougi_3","テッペイ","風圧で弾き返してやるぜ！"
"e011_ougi_4","テッペイ","風に乗って滑空だ！エアロ・グライド！"
"e011_ougi_5","テッペイ","急反転カウンター！エアロ・ダイブ！"
"e012_before","カレン","ここまで勝ち上がってきたんだもの、お互い全力でぶつかり合いましょう！私のコンビネーション、受け止めてみて！"
"e012_win","カレン","ふふっ、私の勝ちね。でも最後まで諦めないその気迫、すごく素敵だったわ。"
"e012_lose","カレン","あぁ……綺麗に弾かれちゃった！完敗ね。あなたのまっすぐなドライブ、本当に見事だったわ！"
"e012_ougi_1","カレン","私の全力スピン、受け止めて！タイタン・プレス！"
"e012_ougi_2","カレン","大地を揺るがす渾身の一撃！ギガント・ハンマーッ！！"
"e012_ougi_3","カレン","鉄壁の守りよ！フォートレス・シェル！"
"e012_ougi_4","カレン","重量級でも機動性は抜群よ！"
"e012_ougi_5","カレン","跳ね返しの反撃！タイタン・プレス！"
"e013_before","サイカ","舞い散る花びらのように、美しくお相手いたしますわ。貴方の回転の覚悟、見せていただけますか？"
"e013_win","サイカ","優雅さと芯の強さ、それがわたくしの信条です。素晴らしい手合わせでしたわ。"
"e013_lose","サイカ","まあ……！わたくしの守りを鮮やかに見切るとは。お見事でしたわ、完敗です。"
"e013_ougi_1","サイカ","冥界の牙よ、お行きなさい！トリプル・ファング！"
"e013_ougi_2","サイカ","静かなる深淵へ……グラウンド・シャックル！！"
"e013_ougi_3","サイカ","鉄鎖の防壁、崩せはしませんわ！チェイン・バインド！"
"e013_ougi_4","サイカ","舞い散るように、軽やかにかわします。"
"e013_ougi_5","サイカ","油断は禁物ですわ。カウンター、トリプル・ファング！"
"e014_before","トウヤ","熱くなってきたぜ……！言葉はいらねえ、回転と火花でオレたちの全てを語り合おう！"
"e014_win","トウヤ","オレの熱意が上回ったようだな！だがお前との勝負、最高に滾ったぜ！"
"e014_lose","トウヤ","クッ……完敗だ！だがオレの闘志はまだ燃え尽きちゃいねえ！絶対に追いつくからな！"
"e014_ougi_1","トウヤ","超音波の衝撃！ウェーブ・ストライク！"
"e014_ougi_2","トウヤ","天空を切り裂く嵐！インパルス・ストーム！！"
"e014_ougi_3","トウヤ","ソニックバリアで無力化する！"
"e014_ougi_4","トウヤ","風となって翻弄する！フェザー・ダンス！"
"e014_ougi_5","トウヤ","超速の切り返し！ウェーブ・ストライク！"
"e015_before","レン","オレの前に立つ覚悟があるなら見せてみろ。完全無欠の回転、その身に刻んでやる。"
"e015_win","レン","これが頂点の景色だ。お前の回転に曇りがある限り、オレには届かない。"
"e015_lose","レン","……見事だ。だが、これで終わったと思うな。オレの誇りは砕けない……次は完全にお前を超える。"
"e015_ougi_1","レン","疾風の爪痕を刻め！エア・スラッシュ！"
"e015_ougi_2","レン","天を裂く暴風の光条！テンペスト・レイッ！！"
"e015_ougi_3","レン","グリフォンの翼で弾き返す！"
"e015_ougi_4","レン","神速の飛翔！ウィンド・ステップ！"
"e015_ougi_5","レン","死角からの逆襲！エア・スラッシュ！"
"e016_before","メイ","私、データ分析も練習もたくさん重ねてきました！全国大会の舞台、全力で挑みますのでよろしくお願いします！"
"e016_win","メイ","や、やりました……！練習の成果が発揮できて本当によかったです。ありがとうございました！"
"e016_lose","メイ","私の緻密な守りを、力強く突破されるとは……！完敗です。でも、すごく熱くて真っ直ぐなバトルでした。決勝戦、応援しています！"
"e016_ougi_1","メイ","私のギア、全力でいきます！メイル・ストリーム！"
"e016_ougi_2","メイ","練習の成果、見せてあげます！大渦潮に呑まれなさい！グラン・ヴォルテックスッ！！"
"e016_ougi_3","メイ","水の防壁よ！タイダル・ウォール！"
"e016_ougi_4","メイ","この軌道なら、かわせます！ヴォイド・ドリフト！"
"e016_ougi_5","メイ","水流に乗ってカウンター！"
"e017_before","カズマ","大地を踏みしめ、ただ真っ直ぐにぶつかるのみ。小細工抜きの真剣勝負、いざ参る！"
"e017_win","カズマ","揺るがぬ重心こそが勝利の要。手応えのある一戦だった、感謝する。"
"e017_lose","カズマ","……ぐっ、見事な一撃だ。力任せではない、貴殿の魂の重さに押し切られたな。"
"e017_ougi_1","カズマ","大地を踏みしめ、ただ真っ直ぐに！タイタン・プレス！"
"e017_ougi_2","カズマ","揺るがぬ巨石の粉砕撃！ギガント・ハンマーッ！！"
"e017_ougi_3","カズマ","いかに猛攻とて、このフォートレス・シェルは揺るがん！"
"e017_ougi_4","カズマ","すり足で見切る！受け流したぞ！"
"e017_ougi_5","カズマ","無防備だぞ！渾身のカウンター、タイタン・プレス！"
"e018_before","シン","オレのスピードについてこれるかな？瞬きしてたら一瞬でリングアウトさせちゃうよ！"
"e018_win","シン","ヘイヘイ、音速の壁は高かっただろ？またいつでも挑戦しにおいでよ！"
"e018_lose","シン","マジか……！オレの超加速の先回りをされるなんて！アンタ、最高のスピードスターだよ！"
"e018_ougi_1","シン","オレの超速についてこれるかな？ダーク・エッジ！"
"e018_ougi_2","シン","魂ごと刈り取ってやる！ヘル・スラッシュッ！！"
"e018_ougi_3","シン","影の帳で受け流す……！"
"e018_ougi_4","シン","光速の身のこなし！ルイン・シャドウ！"
"e018_ougi_5","シン","深淵からの報い！ダーク・エッジ！"
"e019_before","ナノ","はいどーも！ナノちゃんだぞ！キミとの激アツバトル、全世界に生配信しちゃうね！コメント欄も大盛り上がりだぞー！"
"e019_win","ナノ","チャンネル登録よろしくねっ☆ナノちゃんの完全勝利だぞ、ばいばーい！"
"e019_lose","ナノ","わわわーっ！まさかの大逆転負け！？キミ、強すぎて配信が神回になっちゃったぞー！"
"e019_ougi_1","ナノ","カチコチに凍らせちゃうぞ！フロスト・バイト！"
"e019_ougi_2","ナノ","氷河期到来だぞー！アブソリュート・ゼロ！！"
"e019_ougi_3","ナノ","氷のシールドでシャットアウトだぞ！"
"e019_ougi_4","ナノ","どこ見てるのー？アイス・ミラージュ！"
"e019_ougi_5","ナノ","罠にかかったね！カウンターフロスト・バイト！"
"e020_before","アーサー","騎士の礼節をもって君を迎えよう。聖剣エクスカリバーの輝き、見極められるかい？"
"e020_win","アーサー","誇り高き戦いだった。君の鋭い太刀筋、心から称えよう。"
"e020_lose","アーサー","……チェックメイトか。見事なスピンだったよ、友よ。君の勝利だ。"
"e020_ougi_1","アーサー","咆えろゴールドファング！ゴールド・ラッシュ！"
"e020_ougi_2","アーサー","研ぎ澄まされし王者の牙！レガリア・クラッシュッ！！"
"e020_ougi_3","アーサー","黄金の鬣よ、すべての衝撃を弾き返せ！"
"e020_ougi_4","アーサー","獅子の瞬発力を見よ！フラッシュ・ステップ！"
"e020_ougi_5","アーサー","王者の誇りは揺るがない！カウンターゴールド・ラッシュ！"
"e021_before","ラシード","砂漠のピラミッドが如き静寂と重厚さ……貴方の激突で揺るがすことができるでしょうか。"
"e021_win","ラシード","悠久の時の前には、激しき回転も平伏すのみ。良き礼節の勝負でした。"
"e021_lose","ラシード","……驚嘆いたしました。我が砂塵の結界を貫くとは。貴方の魂の光、真に称賛いたします。"
"e021_ougi_1","ラシード","砂漠の毒針を食らいなさい！テイル・スティンガー！"
"e021_ougi_2","ラシード","吹き荒れよ千年の砂嵐！カース・サンドストームッ！！"
"e021_ougi_3","ラシード","砂の結界を展開！アシッド・シールド！"
"e021_ougi_4","ラシード","蜃気楼の中に消え去りましょう……ミラージュ・ヴェール！"
"e021_ougi_5","ラシード","砂塵の報いをお受けなさい！カウンター！"
"e022_before","シャルロット","我が誇り高き白鳥の舞、その目に焼き付けなさい。手加減など無用ですわ！"
"e022_win","シャルロット","美しさと強さは表裏一体。これが我が家に受け継がれし誇りの旋律です。"
"e022_lose","シャルロット","……なんて澄んだ一撃。悔しいけれど、私の完敗ですわ。素晴らしい一騎打ちでした。"
"e022_ougi_1","シャルロット","気高く舞い散りなさい！グレイス・スラスト！"
"e022_ougi_2","シャルロット","気高き百合の剣舞！ノーブル・フルーレッ！！"
"e022_ougi_3","シャルロット","優雅なる鉄壁！ロイヤル・パレード！"
"e022_ougi_4","シャルロット","華麗なステップでかわしますわ！"
"e022_ougi_5","シャルロット","誇りを胸に！カウンター、グレイス・スラスト！"
"e023_before","カルロス","オラァッ！サンバのリズムで魂燃やしていこうぜ！オレのパッション、受け止められるかい！？"
"e023_win","カルロス","ビバ！最高にゴキゲンな勝利だぜ！アンタのビートも熱かったぜ、アミーゴ！"
"e023_lose","カルロス","アチャ〜！オレの情熱を上回るスーパーショットかよ！最高にアツいバトルだったぜ！"
"e023_ougi_1","カルロス","猛禽の嘴の一撃！スカイ・ビーク！"
"e023_ougi_2","カルロス","太陽の急降下！ゲイル・ダイブッ！！"
"e023_ougi_3","カルロス","大空の翼で防ぎ切る！スカイ・シールド！"
"e023_ougi_4","カルロス","オーレ！情熱のステップで見切るぜ！"
"e023_ougi_5","カルロス","熱き反撃！カウンター、スカイ・ビーク！"
"e024_before","リー","我が拳、烈火の如く。螺旋の極意をもって、貴殿の器を推し量らせてもらおう。"
"e024_win","リー","日々の鍛錬こそが全て。貴殿の一撃にも確かな芯があった、良き拳を交えた。"
"e024_lose","リー","……見事！技の極限を超えた魂の一撃、我が全身で確かに受け止めたぞ！"
"e024_ougi_1","リー","虎の爪撃破！ビースト・クロー！"
"e024_ougi_2","リー","猛虎の突進！タイラント・チャージッ！！"
"e024_ougi_3","リー","金剛の構え！メタル・プレート！"
"e024_ougi_4","リー","軽功の身のこなしで見切る！"
"e024_ougi_5","リー","借力発勁！カウンター、ビースト・クロー！"
"e025_before","ユリアン","感情に任せた回転など無意味だ。完全なる秩序と精密機械の如き計算、その真髄を見せよう。"
"e025_win","ユリアン","必然の帰結だ。回転軸のブレ、重心の僅かな狂いが敗北を招く。"
"e025_lose","ユリアン","……信じられん。私の完璧な計算式を、純粋な情熱と執念で突破するとは……！見事だ。"
"e025_ougi_1","ユリアン","重力波の閃光！ダウンフォール・レイ！"
"e025_ougi_2","ユリアン","光すら脱出不能の深淵！イベント・ホライズンッ！！"
"e025_ougi_3","ユリアン","禁断の太陽壁！フォビドゥン・サンライズ！"
"e025_ougi_4","ユリアン","時空を歪めて回避する……クロノス・シフト！"
"e025_ougi_5","ユリアン","重力の軛より逃れられん！カウンター！"
"e026_before","タイラー","ヘイ、落ち着いて楽しもうぜ。オレの分析と最新ギアの連動、簡単に崩せるかな？"
"e026_win","タイラー","スマートに勝つのがオレの流儀さ。いいプレッシャーだったよ、礼を言うぜ。"
"e026_lose","タイラー","ハッ……オレの計算の上を行かれたか。スマートにいかないところが、このバトルの最高の面白さだな。"
"e026_ougi_1","タイラー","冷静に撃ち抜くぜ。バニシング・レイ！"
"e026_ougi_2","タイラー","スマートに刈り取る！ソウル・ハーヴェストッ！！"
"e026_ougi_3","タイラー","無駄な動きはない……確実にブロックだ。"
"e026_ougi_4","タイラー","軌道は読めている……カオス・エスケープ！"
"e026_ougi_5","タイラー","そこだ、計算通り！カウンター、バニシング・レイ！"
"e027_before","ジョナサン","ヒューッ！派手にド派手に行こうぜベイベー！オレのスーパープレイでスタジアムを湧かせてやるぜ！"
"e027_win","ジョナサン","イエーーイ！見たかい今のビッグウェーブ！オレ様がノッてる時は誰にも止められないのさ！"
"e027_lose","ジョナサン","ノーウェイ！マジかよ〜！オレの華麗なパフォーマンスが破られた！？アンタ凄すぎだろ！"
"e027_ougi_1","ジョナサン","派手にキメるぜベイベー！バニシング・レイ！"
"e027_ougi_2","ジョナサン","ビッグバン級の衝撃だ！ソウル・ハーヴェストッ！！"
"e027_ougi_3","ジョナサン","おっと、そう簡単には通さないぜ！"
"e027_ougi_4","ジョナサン","ヒューッ、神回避！カオス・エスケープ！"
"e027_ougi_5","ジョナサン","サプライズだぜ！カウンター、バニシング・レイ！"
"e028_before","ディラン","ケケッ！もっとだ、もっとオレをゾクゾクさせてくれよォ！骨まで噛み砕いてやるぜ！"
"e028_win","ディラン","ハハッ！なんだァもう終わりかよ！？食い足りねぇなぁ、もっと牙を剥いてこいよ！"
"e028_lose","ディラン","ギギッ……！テメエのその目、最高じゃねぇか……！クハハッ、もっと狂気を見せてみろよォ！"
"e028_ougi_1","ディラン","噛み砕いてやるぜ！バニシング・レイ！"
"e028_ougi_2","ディラン","血祭りにあげてやる！ソウル・ハーヴェストッ！！"
"e028_ougi_3","ディラン","潰せるもんなら潰してみろォ！"
"e028_ougi_4","ディラン","ケケッ！どこ狙ってやがる！カオス・エスケープ！"
"e028_ougi_5","ディラン","喰らいつけ！狂犬のカウンター、バニシング・レイ！"
"e029_before","クロエ","アメリカ代表副キャプテンのクロエです。キャプテンのアーサーに繋ぐためにも、私はここで負けられないよ。全力で勝負しよう！"
"e029_win","クロエ","ふぅ、私の勝ちだね。鋭い攻めだったけれど、アメリカ代表の意地としてここは譲れなかったの。また戦おうね！"
"e029_lose","クロエ","……っ！競り負けちゃうなんて……！でも、すごく真っ直ぐで強いドライブだったよ。アーサーとの決勝戦、最高のバトルにしてきてね！"
"e029_ougi_1","クロエ","戦乙女の神槍！ディヴァイン・スラスト！"
"e029_ougi_2","クロエ","銀河を切り裂くわ！セイクリッド・インパクトッ！！"
"e029_ougi_3","クロエ","揺るがぬ神盾！イージス・シールド！"
"e029_ougi_4","クロエ","私のスピードに追いつけるかしら？"
"e029_ougi_5","クロエ","甘い隙よ！カウンター、ディヴァイン・スラスト！"
"e030_before","アーサー","この世界最高の舞台で君と相まみえることを、心から待っていたよ。さあ、すべてを懸けてぶつかり合おう！"
"e030_win","アーサー","最高のバトルをありがとう。君と共に頂点で戦えたこと、生涯の誇りだ。"
"e030_lose","アーサー","……素晴らしい！王者の名は君にこそ相応しい。心からの賛辞を贈るよ。"
"e030_ougi_1","アーサー","黄金の獅子よ、咆哮を轟かせろ！ゴールド・ラッシュ！"
"e030_ougi_2","アーサー","これぞ世界王者の覇道！レガリア・クラッシュッ！！"
"e030_ougi_3","アーサー","王者の誇りにかけて防ぎ切る！"
"e030_ougi_4","アーサー","星をも超える神速！フラッシュ・ステップ！"
"e030_ougi_5","アーサー","王の前に屈せよ！カウンター、ゴールド・ラッシュ！"
"e035_before","店長","やあ、よくここまで辿り着いたね。……だが、ここからはただの店主ではないよ。かつて『スピンキング』と呼ばれた私の全霊、全身全霊で受け止めてもらおう！"
"e035_win","店長","ハハハ！これが歴戦を駆け抜けた王者の回転だ。だが君の成長、この肌でしかと実感したよ。"
"e035_lose","店長","……あっぱれだ！私の全てを注いだ一撃を超えていくとは……！君こそが、新たな時代の真の王者だ！"
"e035_ougi_1","店長","創世の覇道……受けてみるがいい！ロイヤル・インパクト！"
"e035_ougi_2","店長","刮目せよ！天地開闢、創世の御前である！インフィニティ・ノヴァ！！"
"e035_ougi_3","店長","揺るがぬ絶対聖域……マジェスティ・バリア！"
"e035_ougi_4","店長","皇帝の領域へようこそ……アブソリュート・ドメイン！"
"e035_ougi_5","店長","フッ、皇帝への反逆は、滅びとなって己に還る！"
