TEXT_ID	キャラクター名	テキスト内容
e018_win	シン	フハハ！見たか、進化を遂げた我が漆黒の旋律を！
e018_lose	シン	ぐぬぬ……またしても敗れるとは……おのれぇぇ！
e019_before	トウヤ	本気で行かせてもらうぞ。この猛攻を凌いでみせろ！
e019_win	トウヤ	我が勝利だ。お前の回転、見事だったぞ。
e019_lose	トウヤ	見事だ……お前の魂の回転、確かに受け取った！
e020_before	アーサー	ようこそ、チャンピオンシップアリーナへ。最高のバトルをしよう！
e020_win	アーサー	素晴らしいファイトだった！だが勝者は僕だ！
e020_lose	アーサー	見事なアセンブルだ！君こそ真のブレーダーだ！
e021_before	ラシード	砂漠の嵐のような連撃、受けてみよ！
e021_win	ラシード	フッ、我が嵐の前に刃は届かぬ！
e021_lose	ラシード	見事な一閃……我が嵐が払われるとは！
e022_before	シャルロット	わたくしの優雅な演舞をご覧あそばせ！
e022_win	シャルロット	おほほ！わたくしの華麗なアセンブルの勝利ですわ！
e022_lose	シャルロット	まあっ！わたくしのドレス（ギア）が破られるなんて……！
e023_before	カルロス	サンバのような情熱的アタック、受けてみな！
e023_win	カルロス	オーレ！俺のリズムに誰もついてこれまい！
e023_lose	カルロス	ムチャクチャ強いな！俺の情熱が上回られたぜ！
e024_before	リー	流れるようなカウンター、見切れるかな？
e024_win	リー	フッ、相手の力を利用するのが我の極意。
e024_lose	リー	見事……我のカウンターの上を行くとはな。
e025_before	ユリアン	王者の気品……お前に見せてやろう！
e025_win	ユリアン	ハッハッハ！王者の座は揺るがぬ！
e025_lose	ユリアン	バカな……この我が王座から転がり落とされるとは……！
e026_before	タイラー	タフさが自慢だぜ！俺の耐久力を超えられるか！？
e026_win	タイラー	へへっ！俺の頑丈さに痺れたろ！
e026_lose	タイラー	参った！俺の自慢のタフネスを打ち破るなんてすごすぎる！
e027_before	ジョナサン	ミリタリーセッティングの精密さ、見せてやる。
e027_win	ジョナサン	ターゲット撃破。作戦完了だ。
e027_lose	ジョナサン	作戦失敗……貴様の変則アセンブルを見誤ったか……！
e028_before	ディラン	野生の牙、噛み千切ってやるぜ！
e028_win	ディラン	ガウッ！俺の野生の牙に喰らい尽くされたな！
e028_lose	ディラン	グアッ……俺の牙が粉砕されるなんて……！
e029_before	クロエ	静寂の夜へお送りするわ。静かに眠りなさい。
e029_win	クロエ	ふふ、静かな勝利ね。おやすみなさい。
e029_lose	クロエ	なんて激しい光……私の静寂が破られたわ……！
e030_before	アーサー	世界の頂点を見せてやろう。フハハハハ！
e030_win	アーサー	フハハ！皇帝の絶対支配の前に平伏すがいい！
e030_lose	アーサー	グオオオッ！この我が……皇帝であるこの我が負けるだと……！？
e035_before	店長（神代創）	やあ、よく来たね！私のギアバトル、腕試しに受けてみるかい？
e035_win	店長（神代創）	ふふっ、いい勝負だったね！もっとアセンブルを試してみるといいよ。
e035_lose	店長（神代創）	参ったな、素晴らしいアセンブルだ！君ならどんなギアも使いこなせるね。
